Ref,Question,Ratio,Transitions,Black_Size,Normalization,Normalization_Sums,Angles,Centroid
R025,Q020,150.8542342793201,1048.5313538468938,4334.897576644689,4334.897576644689,3.7549440655345427,3.8116810676524495,401.820923379
R025,Q017,125.45915670049756,1394.1061652542821,3495.0410584140495,3495.0410584140495,3.455918024509764,4.395083729663865,266.758711881
R025,Q042,166.19867628835075,685.3531936162551,6137.905261569292,6137.905261569292,2.545391933300131,4.5067242773882255,230.265058017
R025,Q075,119.1217864204529,1390.8026459566433,2400.871924947268,2400.871924947268,3.0942467791878814,4.080356707466006,174.394258916
R025,Q069,100.5236290630218,3524.892338781427,29993.83506655993,29993.83506655993,3.647725813661454,4.2603101005852855,388.506125036
R025,Q096,143.29689459300923,1379.3610839805508,20643.696374438372,20643.696374438372,2.730440313380634,3.7538108819106015,199.666154459
R025,Q087,85.48684109265004,789.6328260653809,13342.591764720975,13342.591764720975,3.049529764975149,2.9333046321801954,329.941689732
R025,Q078,124.73572062564917,812.5096922498833,2928.0975052070926,2928.0975052070926,3.129843357523114,3.2235881632060215,288.039397788
R025,Q064,140.82258341615523,1408.93470395189,2876.4491999686,2876.4491999686,3.389461580673736,4.3891679659999285,250.758872824
R025,Q053,133.2066064427737,1373.7306868524122,7614.691589289746,7614.691589289746,3.0556109973045023,4.3059975893378075,267.105296302
R025,Q006,128.90306435457614,1490.257695836529,3362.8437370772967,3362.8437370772967,3.790082374164062,4.200998143071162,344.189411433
R025,Q031,147.82421993705904,1355.4663404157257,1881.156559141211,1881.156559141211,3.100310304038821,4.158127404294504,271.736389248
R025,Q028,128.24195881223898,796.7452541433805,1811.0612910666496,1811.0612910666496,3.2356446258646394,3.0847488841064803,394.148128952
R025,Q082,137.5790681753587,1484.7700158610423,3017.5871155610403,3017.5871155610403,3.252622354205431,3.3181287197072136,262.0119971
R025,Q056,137.6045057401828,1416.2916366342067,1889.0050291092398,1889.0050291092398,3.5126959140178218,3.301853843739824,282.422543508
R025,Q061,122.78029157808675,1517.078112688994,264095.5681244954,264095.5681244954,2.5939301651218116,2.94306612565941,462.7142464
R025,Q034,124.85191228010886,1358.593022210846,1874.452720129265,1874.452720129265,4.056175921862382,4.410851067987062,363.000610712
R025,Q003,157.05731437917814,1532.6281349368476,3127.796508726231,3127.796508726231,3.3003130158813474,3.4853467901323323,361.090606289
R025,Q012,137.2953021774598,1422.6689706323111,76374.64567511917,76374.64567511917,3.190652210666298,4.062637074991481,223.121410405
R025,Q025,578.9628658212891,1530.4456867200481,4556.534648172886,4556.534648172886,3.6253717475636376,4.395228473883714,365.082199606
R025,Q070,275.2925716397012,1444.8439362090287,11108.779050822823,11108.779050822823,3.2582558283607574,4.351522358208955,219.049990886
R025,Q047,217.08984315255285,1579.713265121237,14333.342596896231,14333.342596896231,3.784438562993725,3.8843375319215716,568.941919399
R025,Q093,114.12712210513327,1390.801926947184,1836.5331469919076,1836.5331469919076,3.3361594616429264,4.8997498192560025,212.37264479
R025,Q039,135.2368293032634,1452.9452845857618,1964.5836709084192,1964.5836709084192,2.923278503060211,3.15344392155394,280.340864279
R025,Q009,197.89643756268075,539.1484025757658,3810.0868756499503,3810.0868756499503,2.2838148889423135,1.8441435511540683,74.9211755397
R025,Q094,136.53204751998703,1611.6928987868625,2676.3426536973925,2676.3426536973925,3.907896788986864,4.6332477055424395,655.417553747
R025,Q015,74.09453421137081,565.1238802245044,1881.3527048376654,1881.3527048376654,3.1480817686285847,2.7978604744695494,240.691729945
R025,Q022,136.444127759314,1509.690365604815,2480.059676701349,2480.059676701349,2.9285176133241637,4.251272195855427,256.106962521
R025,Q077,72.75300681071539,493.7347465998317,1809.5947060046346,1809.5947060046346,2.8043239273741007,2.420464705044706,210.366725017
R025,Q040,119.33566105737212,1419.06976572683,2015.9885912375596,2015.9885912375596,3.4444424688939,3.3779457168156193,320.007188444
